readers,writers,library,execution_time
10,1,semaphores,202
10,1,conditions,153
10,1,fifo,152
10,5,semaphores,602
10,5,conditions,554
10,5,fifo,553
10,10,semaphores,1104
10,10,conditions,1055
10,10,fifo,1054
50,1,semaphores,203
50,1,conditions,160
50,1,fifo,159
50,5,semaphores,604
50,5,conditions,560
50,5,fifo,559
50,10,semaphores,1106
50,10,conditions,1061
50,10,fifo,1061
100,1,semaphores,206
100,1,conditions,168
100,1,fifo,168
100,5,semaphores,607
100,5,conditions,569
100,5,fifo,569
100,10,semaphores,1107
100,10,conditions,1070
100,10,fifo,1071
